MuncipalityID;Name;CountyID;NumberOfVotes;VotesForKO;VotesForLEW;VotesForTD;VotesForKONF;VotesForPIS;VotesForBS
60705;gm. Kraśnik;60700;1943;278;48;141;306;1146;19
60706;gm. Szastarka;60700;1676;140;49;64;242;1166;11
60707;gm. Trzydnik Duży;60700;1613;232;53;129;240;942;11
60708;gm. Urzędów;60700;2449;270;41;216;441;1460;16
60709;gm. Wilkołaz;60700;1880;164;26;107;412;1153;11
60710;gm. Zakrzówek;60700;1835;235;27;86;389;1073;19
60801;m. Lubartów;60800;6701;2349;195;425;906;2737;75
60802;gm. Abramów;60800;1154;95;26;62;230;725;13
60803;gm. Firlej;60800;1488;238;38;93;267;820;26
60804;gm. Jeziorzany;60800;730;89;13;50;107;461;6
60805;gm. Kamionka;60800;1733;364;49;114;394;787;21
60806;gm. Kock;60800;1628;226;39;82;260;997;20
60807;gm. Lubartów;60800;3316;661;84;253;706;1551;54
60808;gm. Michów;60800;1469;236;38;75;213;891;11
60809;gm. Niedźwiada;60800;1801;191;34;99;351;1109;13
60810;gm. Ostrów Lubelski;60800;1623;260;38;101;329;873;13
60811;gm. Ostrówek;60800;955;93;15;75;247;513;8
60812;gm. Serniki;60800;1530;146;26;83;355;896;16
60813;gm. Uścimów;60800;875;167;20;53;131;493;9
60901;gm. Bełżyce;60900;3687;664;71;222;659;2029;34
60902;gm. Borzechów;60900;1201;105;14;99;303;669;9
60903;gm. Bychawa;60900;2990;518;76;167;583;1602;30
60904;gm. Garbów;60900;2702;523;62;162;553;1350;42
60905;gm. Głusk;60900;4529;1443;177;289;796;1748;61
60906;gm. Jabłonna;60900;2021;403;54;121;371;1031;30
60907;gm. Jastków;60900;5040;1506;140;319;833;2160;74
60908;gm. Konopnica;60900;5247;1907;169;402;907;1775;66
60909;gm. Krzczonów;60900;1138;187;36;92;209;598;13
60910;gm. Niedrzwica Duża;60900;3640;762;73;221;775;1738;60
60911;gm. Niemce;60900;6817;2019;179;386;1283;2847;90
60912;gm. Strzyżewice;60900;2275;471;53;156;434;1123;29
60913;gm. Wojciechów;60900;1625;306;49;101;302;844;17
60914;gm. Wólka;60900;4166;1182;148;262;812;1685;62
60915;gm. Wysokie;60900;1304;116;18;95;218;837;19
60916;gm. Zakrzew;60900;770;57;8;41;138;518;6
61001;gm. Cyców;61000;1826;321;40;80;327;1021;22
61002;gm. Ludwin;61000;1454;354;23;75;275;664;58
61003;gm. Łęczna;61000;6892;2038;143;238;1144;3191;114
61004;gm. Milejów;61000;2175;501;62;86;364;1123;28
